ID,group,item.number,item,spelling.learned,reduction.type,pronunciation,button.pressedd,correct,RT,trial,spellingTest.answer,spelling.correct
CN01,Canonical_None,40,trenter,canonical,nasal,"New words, canonical pronunciation",4,1,1440,49,,0
CN01,Canonical_None,50,trettemus,canonical,flap,"New words, canonical pronunciation",4,1,3352,69,,0
CN01,Canonical_None,33,trotty,canonical,flap,"New words, canonical pronunciation",4,1,1155,116,,0
CN01,Canonical_None,45,trounty,none,nasal,"New words, canonical pronunciation",4,1,3913,110,,
CN01,Canonical_None,51,vettetus,none,flap,"New words, canonical pronunciation",1,0,1760,67,,
CN01,Canonical_None,58,vintimal,canonical,nasal,"New words, canonical pronunciation",4,1,1410,35,veany,0
CN01,Canonical_None,38,voutty,none,flap,"New words, canonical pronunciation",4,1,1286,106,,
CN01,Canonical_None,64,abron,,,Nonwords,4,1,1328,124,,
CN01,Canonical_None,65,balloom,,,Nonwords,1,0,731,99,,
CN01,Canonical_None,68,bashketball,,,Nonwords,4,1,840,62,,
CN01,Canonical_None,83,bencil,,,Nonwords,4,1,1024,91,,
CN01,Canonical_None,84,briest,,,Nonwords,4,1,1041,29,,
CN01,Canonical_None,70,cabimet,,,Nonwords,4,1,1543,114,,
CN01,Canonical_None,71,cassier,,,Nonwords,1,0,1465,8,,
CN01,Canonical_None,72,crame,,,Nonwords,4,1,2144,13,,
CN01,Canonical_None,73,dansher,,,Nonwords,4,1,812,92,,
CN01,Canonical_None,74,feshtival,,,Nonwords,4,1,3026,56,,
CN01,Canonical_None,75,fiss,,,Nonwords,4,1,710,45,,
CN01,Canonical_None,76,glash,,,Nonwords,4,1,941,64,,
CN01,Canonical_None,77,grabe,,,Nonwords,4,1,852,28,,
CN01,Canonical_None,78,han,,,Nonwords,4,1,1132,25,,
CN01,Canonical_None,79,herpivore,,,Nonwords,1,0,1205,54,,
CN01,Canonical_None,80,nechanic,,,Nonwords,4,1,1075,31,,
CN01,Canonical_None,81,nushroom,,,Nonwords,4,1,893,27,,
CN01,Canonical_None,82,palashe,,,Nonwords,4,1,1799,55,,
CN01,Canonical_None,66,pank,,,Nonwords,4,1,973,6,,
CN01,Canonical_None,67,parrel,,,Nonwords,4,1,1066,63,,
CN01,Canonical_None,69,prain,,,Nonwords,4,1,3599,0,,
CN01,Canonical_None,85,reshtaurant,,,Nonwords,1,0,1150,36,,
CN01,Canonical_None,86,ruppish,,,Nonwords,4,1,1132,68,,
CN01,Canonical_None,87,selter,,,Nonwords,4,1,1561,108,,
CN01,Canonical_None,90,shke,,,Nonwords,4,1,595,61,,
CN01,Canonical_None,88,sirt,,,Nonwords,4,1,824,75,,
CN01,Canonical_None,89,smail,,,Nonwords,4,1,1514,7,,
CN01,Canonical_None,91,spoom,,,Nonwords,4,1,1953,76,,
CN01,Canonical_None,92,sunnit,,,Nonwords,4,1,2352,118,,
CN01,Canonical_None,93,teemager,,,Nonwords,4,1,1395,14,,
CN01,Canonical_None,94,vegetaple,,,Nonwords,4,1,997,84,,
CN01,Canonical_None,95,wimdow,,,Nonwords,4,1,1464,83,,
CN01,Canonical_None,0,apron,,,Familiar words,1,1,751,50,,
CN01,Canonical_None,1,balloon,,,Familiar words,1,1,873,33,,
CN01,Canonical_None,2,bank,,,Familiar words,1,1,2266,109,,
CN01,Canonical_None,3,barrel,,,Familiar words,1,1,937,16,,
CN01,Canonical_None,4,basketball,,,Familiar words,1,1,1203,2,,
CN01,Canonical_None,5,brain,,,Familiar words,1,1,681,47,,
CN01,Canonical_None,6,cabinet,,,Familiar words,1,1,1202,73,,
CN01,Canonical_None,7,cashier,,,Familiar words,1,1,953,12,,
CN01,Canonical_None,8,crane,,,Familiar words,1,1,773,43,,
CN01,Canonical_None,9,dancer,,,Familiar words,1,1,933,15,,
CN01,Canonical_None,10,festival,,,Familiar words,1,1,1134,122,,
CN01,Canonical_None,11,fish,,,Familiar words,1,1,1491,39,,
CN01,Canonical_None,12,glass,,,Familiar words,1,1,810,58,,
CN01,Canonical_None,13,grape,,,Familiar words,1,1,935,11,,
CN01,Canonical_None,14,ham,,,Familiar words,1,1,1407,102,,
CN01,Canonical_None,15,herbivore,,,Familiar words,1,1,1106,57,,
CN01,Canonical_None,16,mechanic,,,Familiar words,1,1,946,112,,
CN01,Canonical_None,17,mushroom,,,Familiar words,1,1,947,4,,
CN01,Canonical_None,18,palace,,,Familiar words,1,1,1090,81,,
CN01,Canonical_None,19,pencil,,,Familiar words,1,1,768,30,,
CN01,Canonical_None,20,priest,,,Familiar words,1,1,1116,105,,
CN01,Canonical_None,21,restaurant,,,Familiar words,1,1,928,127,,
CN01,Canonical_None,22,rubbish,,,Familiar words,1,1,1071,44,,
CN01,Canonical_None,23,shelter,,,Familiar words,1,1,1519,121,,
CN01,Canonical_None,24,shirt,,,Familiar words,1,1,728,72,,
CN01,Canonical_None,25,sil,,,Familiar words,1,1,1545,66,,
CN01,Canonical_None,26,ske,,,Familiar words,1,1,848,60,,
CN01,Canonical_None,27,spoon,,,Familiar words,1,1,939,87,,
CN01,Canonical_None,28,summit,,,Familiar words,1,1,2683,85,,
CN01,Canonical_None,29,teeger,,,Familiar words,1,1,781,89,,
